index,id,created_at,text,author.name,label,public_metrics.like_count,public_metrics.retweet_count,links,hash_tags,sentiment
0,1075677468294635522,2018-12-20T09:01:08.000Z,gamecentral borderlands 2 vr rough ready world works better youd thinknnnick gillett gives take 2ks rock,Metro,en,0,1,[],[],"{'label': 'neutral', 'score': 0.9123684763908386}"
1,670304079214702592,2015-11-27T18:12:00.000Z,worlds sexiest robot apparently,The Sun,en,3,5,"['https://t.co/FTwd4WV886', 'https://t.co/J0xjSud98i']",[],"{'label': 'neutral', 'score': 0.5205633044242859}"
2,1085566226116628480,2019-01-16T15:55:31.000Z,ancestor knew nothing ciencia neardental denisovano inteligenciaartificial,La Voz de Galicia,es,2,1,['https://t.co/Q7T96TPH3E'],"['#ciencia', '#neardental', '#denisovano', '#inteligenciaartificial']","{'label': 'neutral', 'score': 0.949323832988739}"
3,968059526594420736,2018-02-26T09:45:51.000Z,new porsche mission e contains blockchain much exciting insights behind scenes car manufacturer mwbuchenau handelsblatt,Lars Ophüls,de,3,3,['https://t.co/L2BqyttdUa'],"['#Porsche', '#Handelsblatt']","{'label': 'neutral', 'score': 0.44697266817092896}"
4,784508641508483072,2016-10-07T21:40:10.000Z,relive second world war virtual reality app,De Gelderlander,nl,2,3,['https://t.co/xNwXywBpSG'],[],"{'label': 'neutral', 'score': 0.956550121307373}"
5,740978583859015680,2016-06-09T18:47:15.000Z,fourlegged robot horse track fugitives withstand attack,The Mirror,en,2,4,"['https://t.co/LaBopRzjdL', 'https://t.co/Uu8PnAWVwW']",[],"{'label': 'neutral', 'score': 0.9527623057365417}"
6,889448423979659264,2017-07-24T11:33:24.000Z,rediff artificial intelligence taking homes,Le Figaro Économie,fr,2,6,['https://t.co/1ZoU9qpwFT'],['#Rediff'],"{'label': 'neutral', 'score': 0.9658467769622803}"
7,713333779960606720,2016-03-25T11:56:40.000Z,elpaistec microsoft removes robot made racist comments twitter,EL PAÍS,es,0,46,['https://t.co/9I9qnR0c7S'],[],"{'label': 'neutral', 'score': 0.723111629486084}"
8,828653269610270721,2017-02-06T17:15:09.000Z,robot tax wanted benoithamon would harmful economy via cerclelesechos,Les Echos,fr,12,18,"['https://t.co/MkwU2NzWhl', 'https://t.co/1ABYKgASpS']",[],"{'label': 'neutral', 'score': 0.9672138690948486}"
9,783733996760866816,2016-10-05T18:22:00.000Z,robot helps end 12hour stand armed suspect killed police,The Mirror,en,4,3,"['https://t.co/Tlv551DsVD', 'https://t.co/fdTYhlO3aS']",[],"{'label': 'neutral', 'score': 0.8888509273529053}"
